Filename,Role,Seniority Level,Skills Match,Link
desc92,Data Scientist,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1889349657&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=100
desc93,Data Scientist,Entry level,1,https://www.linkedin.com/jobs/search/?currentJobId=1757964412&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=100
desc94,Data Scientist,Entry level,0.571428571,https://www.linkedin.com/jobs/search/?currentJobId=1884004600&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=100
desc95,Data Scientist,Mid-Senior level,0.2,https://www.linkedin.com/jobs/search/?currentJobId=1856924003&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=100
desc96,Data Scientist,Associate,0.75,https://www.linkedin.com/jobs/search/?currentJobId=1853778382&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=100
desc97,Data Scientist,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1884202807&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=100
desc98,Data Scientist,Entry level,1,https://www.linkedin.com/jobs/search/?currentJobId=1889535238&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=100
desc99,Data Scientist,Entry level,1,https://www.linkedin.com/jobs/search/?currentJobId=1861026153&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=100
desc100,Data Scientist,Mid-Senior level,0.4,https://www.linkedin.com/jobs/search/?currentJobId=1833956454&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=100
desc101,Data Scientist,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1881000422&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=100
desc102,Data Scientist,Mid-Senior level,0.7,https://www.linkedin.com/jobs/search/?currentJobId=1738819776&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=100
desc103,Data Scientist,Mid-Senior level,0.6,https://www.linkedin.com/jobs/search/?currentJobId=1833962424&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=100
desc104,Data Scientist,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1826688230&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=125
desc105,Data Scientist,Entry level,1,https://www.linkedin.com/jobs/search/?currentJobId=1884528985&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=125
desc106,Data Scientist,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1896205975&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=125
desc107,Data Scientist,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1793011651&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=125
desc108,Data Scientist,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1519958512&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=125
desc109,Data Scientist,Associate,0.4,https://www.linkedin.com/jobs/search/?currentJobId=1848847461&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=125
desc110,Data Scientist,Mid-Senior level,0.8,https://www.linkedin.com/jobs/search/?currentJobId=1857649203&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=125
desc111,Data Scientist,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1862652450&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=125
desc112,Data Scientist,Entry level,1,https://www.linkedin.com/jobs/search/?currentJobId=1816557061&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=125
desc113,Data Scientist,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1759021864&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=125
desc114,Data Scientist,Mid-Senior level,,https://www.linkedin.com/jobs/search/?currentJobId=1626919486&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=125
desc115,Data Scientist,Associate,,https://www.linkedin.com/jobs/search/?currentJobId=1759034599&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=125
desc116,Data Scientist,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1764181663&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=125
desc117,Data Scientist,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1892784627&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=125
desc118,Data Scientist,Entry level,0.6,https://www.linkedin.com/jobs/search/?currentJobId=1829827960&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=125
desc119,Data Scientist,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1876249267&geoId=101165590&keywords=data%20scientist&location=United%20Kingdom&start=125
desc120,Data Scientist,Entry level,1,https://www.linkedin.com/jobs/search/?currentJobId=1764005428&geoId=101165590&keywords=data%20scientist&location=United%20Kingdom&start=125
desc121,Junior Data Analyst,Associate,1,https://www.linkedin.com/jobs/search/?currentJobId=1896177814&geoId=101165590&keywords=data%20scientist&location=United%20Kingdom&start=125
desc122,Data Analyst,Mid-Senior level,0.3,https://www.linkedin.com/jobs/search/?currentJobId=1863319879&geoId=101165590&keywords=data%20scientist&location=United%20Kingdom&start=125
desc123,Senior Data Scientist,Mid-Senior level,0.857142857,https://www.linkedin.com/jobs/search/?geoId=101165590&keywords=data%20scientist&location=United%20Kingdom&start=150
desc124,Data Analyst,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1725815774&geoId=101165590&keywords=data%20scientist&location=United%20Kingdom&start=150
desc125,Junior Data Analyst,Associate,,https://www.linkedin.com/jobs/search/?currentJobId=1884597808&geoId=101165590&keywords=data%20scientist&location=United%20Kingdom&start=150
desc126,Data Scientist,Entry level,1,https://www.linkedin.com/jobs/search/?currentJobId=1364327886&geoId=101165590&keywords=data%20scientist&location=United%20Kingdom&start=150
desc127,Data Scientist,Mid-Senior level,0.666666667,https://www.linkedin.com/jobs/search/?currentJobId=1883871205&geoId=101165590&keywords=data%20scientist&location=United%20Kingdom&start=150
desc128,Data Scientist,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1848086725&geoId=101165590&keywords=data%20scientist&location=United%20Kingdom&start=150
desc129,Data Scientist,Mid-Senior level,0.7,https://www.linkedin.com/jobs/search/?currentJobId=1877449333&geoId=101165590&keywords=data%20scientist&location=United%20Kingdom&start=175
desc130,Data Scientist,Associate,0.4,https://www.linkedin.com/jobs/search/?currentJobId=1866323876&geoId=101165590&keywords=data%20scientist&location=United%20Kingdom&start=175
desc131,Data Scientist,Mid-Senior level,,https://www.linkedin.com/jobs/search/?currentJobId=1892298773&geoId=101165590&keywords=data%20scientist&location=United%20Kingdom&start=175
desc132,Data Analyst,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1893699896&geoId=101165590&keywords=data%20scientist&location=United%20Kingdom&start=175
desc133,Data Scientist,Mid-Senior level,0.555555556,https://www.linkedin.com/jobs/search/?currentJobId=1848839012&geoId=101165590&keywords=data%20scientist&location=United%20Kingdom&start=175
desc134,Data Scientist,Entry level,1,https://www.linkedin.com/jobs/search/?currentJobId=1854104019&geoId=101165590&keywords=data%20scientist&location=United%20Kingdom&start=175
desc135,Data Scientist,Mid-Senior level,0.3,https://www.linkedin.com/jobs/search/?currentJobId=1859856789&geoId=101165590&keywords=data%20scientist&location=United%20Kingdom&start=175
desc136,Data Analyst,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1896196740&geoId=101165590&keywords=data%20scientist&location=United%20Kingdom&start=175
desc137,Data Analyst,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1896114848&geoId=101165590&keywords=data%20scientist&location=United%20Kingdom&start=175
desc138,Lead Data Scientist,Mid-Senior level,0.5,https://www.linkedin.com/jobs/search/?currentJobId=1863320398&geoId=101165590&keywords=data%20scientist&location=United%20Kingdom&start=175
desc139,Data Analyst,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1848834531&geoId=101165590&keywords=data%20scientist&location=United%20Kingdom&start=175
desc140,Data Scientist,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1437841676&geoId=101165590&keywords=data%20scientist&location=United%20Kingdom&start=200
desc141,Data Analyst,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1763888750&geoId=101165590&keywords=data%20scientist&location=United%20Kingdom&start=200
desc142,Data Scientist,Director,0.5,https://www.linkedin.com/jobs/search/?currentJobId=1862435780&geoId=101165590&keywords=data%20scientist&location=United%20Kingdom&start=200
desc143,Data Analyst,Mid-Senior level,0.3,https://www.linkedin.com/jobs/search/?currentJobId=1848858057&geoId=101165590&keywords=data%20scientist&location=United%20Kingdom&start=200
desc144,Data Scientist,Entry level,1,https://www.linkedin.com/jobs/search/?currentJobId=1824067257&geoId=101165590&keywords=data%20scientist&location=United%20Kingdom&start=200
desc145,Data Scientist,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1786238792&geoId=101165590&keywords=data%20scientist&location=United%20Kingdom&start=200
desc146,Data Analyst,Mid-Senior level,,https://www.linkedin.com/jobs/search/?currentJobId=1881281295&geoId=101165590&keywords=data%20scientist&location=United%20Kingdom&start=200
desc147,Data Analyst,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1348467139&geoId=101165590&keywords=data%20scientist&location=United%20Kingdom&start=200
desc148,Junior Data Analyst,Associate,,https://www.linkedin.com/jobs/search/?currentJobId=1818958807&geoId=101165590&keywords=data%20scientist&location=United%20Kingdom&start=200
desc149,Data Analyst,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1865601637&geoId=101165590&keywords=data%20scientist&location=United%20Kingdom&start=200
desc150,Data Scientist,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1653950382&geoId=101165590&keywords=data%20scientist&location=United%20Kingdom&start=200
desc151,Data Analyst,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1864356842&geoId=101165590&keywords=data%20scientist&location=United%20Kingdom&start=200
desc152,Data Analyst,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1875567016&geoId=101165590&keywords=data%20scientist&location=United%20Kingdom&start=200
desc153,Data Analyst,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1887930565&geoId=101165590&keywords=data%20scientist&location=United%20Kingdom&start=200
desc154,Data Analyst,Mid-Senior level,0.3,https://www.linkedin.com/jobs/search/?currentJobId=1863308201&geoId=101165590&keywords=data%20scientist&location=United%20Kingdom&start=200
desc155,Data Analyst,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1890093773&geoId=101165590&keywords=data%20scientist&location=United%20Kingdom&start=200
desc156,Data Analyst,Associate,,https://www.linkedin.com/jobs/search/?currentJobId=1878470348&geoId=101165590&keywords=data%20scientist&location=United%20Kingdom&start=200
desc157,Data Analyst,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1813968084&geoId=101165590&keywords=data%20scientist&location=United%20Kingdom&start=225
desc158,Data Analyst,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1887935811&geoId=101165590&keywords=data%20scientist&location=United%20Kingdom&start=225
desc159,Data Analyst,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1884651703&geoId=101165590&keywords=data%20scientist&location=United%20Kingdom&start=225
desc160,Data Analyst,Associate,0.4,https://www.linkedin.com/jobs/search/?currentJobId=1846537538&geoId=101165590&keywords=data%20scientist&location=United%20Kingdom&start=225
desc161,Senior Data Scientist,Mid-Senior level,0.6,https://www.linkedin.com/jobs/search/?currentJobId=1862627451&geoId=101165590&keywords=data%20scientist&location=United%20Kingdom&start=225
desc162,Data Analyst,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1884786947&geoId=101165590&keywords=data%20scientist&location=United%20Kingdom&start=225
desc163,Data Scientist,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1861012677&geoId=101165590&keywords=data%20scientist&location=United%20Kingdom&start=225
desc164,Data Scientist,Mid-Senior level,,https://www.linkedin.com/jobs/search/?currentJobId=1880187529&geoId=101165590&keywords=data%20scientist&location=United%20Kingdom&start=225
desc165,Data Analyst,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1787044113&geoId=101165590&keywords=data%20scientist&location=United%20Kingdom&start=225
